id,ay,ihracat_Turk_bayrak,ihracat_yabancı_bayraklı,ihracat_toplam,kabotaj_yukleme,transit_yukleme,toplam_yukleme,ithalat_Turk_bayrak,ithalat_yabancı_bayraklı,ithalat_toplam,kabotaj_bosaltma,transit_bosaltma,toplam_bosaltma,toplam_turk_bayrakli,toplam_yabancı_bayraklı,toplam_ithalt_ihracat,toplam_kabotaj,toplam_transit,toplam_ellecleme,Year
0,ocak,1405467,6911691,8317160,2433237,4664785.0,15415182,1802978,17904700,19707679,2359945,716412.0,22784037,3208446.0,24816393.0,28024839,4793183,5381196,38199219,2018
1,subat,1244840,7002371,8247214,2257547,4951235.0,15455996,1566298,17223984,18790284,2260106,869405.0,21919796,2811139.0,24226358.0,27037497,4517654,5820640,37375792,2018
2,mart,1245337,8006262,9251598,2443556,5491723.0,17186878,2057455,18184044,20241499,2495116,915017.0,23651632,3302792.0,26190306.0,29493097,4938671,6406741,40838510,2018
3,nisan,1249138,7065408,8314546,2756334,4707967.0,15778847,1782072,17335883,19117955,2730674,853520.0,22702151,3031210.0,24401291.0,27432503,5487007,5561487,38480998,2018
4,mayis,1410881,7375497,8786380,2902909,5198968.0,16888258,1872626,17748590,19621218,2862485,994055.0,23477758,3283508.0,25124090.0,28407598,5765394,6193023,40366016,2018
5,haziran,1246649,7532812,8779463,2743318,5449058.0,16971840,1786274,16788921,18575195,2661638,893056.0,22129889,3032923.0,24321734.0,27354658,5404957,6342116,39101730,2018
6,temmuz,1243866,8078216,9322082,2667991,5294382.0,17284454,1695811,18093692,19789503,2770973,739632.0,23300110,2939677.0,26171908.0,29111585,5438964,6034013,40584565,2018
7,agustos,1166432,7329808,8496241,2413032,5364475.0,16273747,1888827,16132355,18021184,2604984,703729.0,21329897,3055259.0,23462166.0,26517425,5018016,6068205,37603646,2018
8,eylul,1242633,8252575,9495210,2376446,4967960.0,16839615,1468412,14601173,16069587,2372283,552303.0,18994173,2711046.0,22853749.0,25564797,4748729,5520263,35833789,2018
9,ekim,1404295,9231427,10635722,2379140,5563444.0,18578308,1580010,14156834,15736845,2572786,414871.0,18724502,2984305.0,23388262.0,26372568,4951927,5978315,37302811,2018
10,kasim,1383618,8437634,9821252,2121302,5628161.0,17570715,1289772,13838992,15128767,2168767,408447.0,17705981,2673391.0,22276628.0,24950019,4290069,6036609,35276697,2018
11,aralik,1416960,9540803,10957763,2055739,5798914.0,18812418,1059568,16685530,17745099,2145532,486732.0,20377364,2476528.0,26226334.0,28702863,4201270,6285646,39189782,2018
12,ocak,983392,9093147,10076540,1788987,5656277.0,17521804,943117,16315803,17258922,1922093,541772.0,19722787,1926508.0,25408953.0,27335461,3711079,6198049,37244592,2019
13,subat,1081942,8722703,9804647,1898460,4731711.0,16434818,908006,14419144,15327150,1880110,452056.0,17659316,1989949.0,23141848.0,25131796,3778570,5183768,34094136,2019
14,mart,1343809,10919938,12263749,2324082,5754059.0,20341890,1577749,18814506,20392255,2035761,630423.0,23058439,2921559.0,29734446.0,32656005,4359842,6384482,43400329,2019
15,nisan,1270960,10556085,11827046,2175105,5209352.0,19211503,1143039,17277777,18420818,2225965,1088375.0,21735157,2413999.0,27833863.0,30247864,4401070,6297728,40946661,2019
16,mayis,1031135,10537908,11569044,2368621,5976264.0,19913930,906310,17724686,18630995,2358331,1060333.0,22049661,1937446.0,28262595.0,30200040,4726952,7036599,41963593,2019
17,haziran,1102875,9111915,10214792,2550520,5277514.0,18042827,1327509,16224626,17552137,2435079,862924.0,20850139,2430385.0,25336542.0,27766928,4985600,6140439,38892968,2019
18,temmuz,1274233,9599421,10873655,2617630,5816285.0,19307570,1176976,16643374,17820351,2512839,867229.0,21200420,2451210.0,26242796.0,28694007,5130470,6683513,40507991,2019
19,agustos,1414449,9584144,10998593,2569346,5272177.0,18840118,1444350,16442478,17886828,2517289,860834.0,21264953,2858798.0,26026622.0,28885421,5086637,6133013,40105072,2019
20,eylul,1066010,9630436,10696445,2561688,5038435.0,18296569,1106197,17357660,18463859,2811344,851428.0,22126631,2172208.0,26988097.0,29160305,5373033,5889864,40423201,2019
21,ekim,1137022,10597218,11734241,2595379,5485180.0,19814801,1091489,19042604,20134094,2533285,986574.0,23653954,2228511.0,29639825.0,31868336,5128664,6471755,43468757,2019
22,kasim,1366265,9966617,11332884,2623360,5449411.0,19405654,1136364,17873960,19010325,2328833,932190.0,22271349,2502630.0,27840579.0,30343208,4952194,6381601,41677004,2019
23,aralik,1060064,9224873,10284937,2177836,5294059.0,17756833,1002464,19504609,20507073,2300774,879423.0,23687271,2062530.0,28729482.0,30792011,4478609,6173482,41444105,2019
24,ocak,730577,3862245,4592824,1428868,4761304.0,10782996,1183863,8076732,9260596,1595083,69803.0,10925482,1914441.0,11938979.0,13853420,3023950,4831107,21708477,2009
25,subat,703123,4096192,4799316,1399435,4398959.0,10597709,1194017,7688829,8882847,1514766,17610.0,10415224,1897139.0,11785024.0,13682163,2914201,4416568,21012934,2009
26,mart,857541,4998707,5856250,1459120,5008916.0,12324287,1386862,8031139,9418003,1587076,27848.0,11032929,2244404.0,13029850.0,15274255,3046197,5036765,23357216,2009
27,nisan,788512,5122858,5911371,1555469,3777213.0,11244053,1483402,8976525,10459928,1679327,38969.0,12178223,2271915.0,14099384.0,16371299,3234797,3816181,23422278,2009
28,mayis,907097,5004757,5911857,1613540,5819097.0,13344495,1573791,10748400,12322193,1750577,8931.0,14081701,2480889.0,15753161.0,18234050,3364117,5828028,27426196,2009
29,haziran,922806,5725060,6647868,1571631,5171807.0,13391306,1879392,10792785,12672178,1719009,10506.0,14401694,2802200.0,16517846.0,19320046,3290640,5182314,27793001,2009
30,temmuz,946206,5868299,6814506,1689605,5323147.0,13827259,1855563,11093122,12948685,1761043,7785.0,14717513,2801768.0,16961422.0,19763191,3450648,5330932,28544773,2009
31,agustos,799878,5751716,6551595,1682953,5569886.0,13804435,2068889,11753556,13822446,1753515,8202.0,15584164,2868769.0,17505273.0,20374042,3436468,5578088,29388600,2009
32,eylul,656057,5705094,6361153,1464449,4453911.0,12279514,2191717,10186279,12377997,1552919,14866.0,13945783,2847774.0,15891375.0,18739150,3017367,4468778,26225297,2009
33,ekim,807354,6240848,7048204,1595106,4545767.0,13189079,1808263,10414981,12223245,1610944,23578.0,13857768,2615618.0,16655831.0,19271450,3206051,4569346,27046848,2009
34,kasim,763210,5946787,6709998,1417184,4594172.0,12721355,2110282,10748655,12858937,1406583,37748.0,14303268,2873493.0,16695443.0,19568936,2823767,4631920,27024624,2009
35,aralik,696152,5869164,6565316,1428503,4311197.0,12305017,1650997,10964031,12615029,1555052,11356.0,14181438,2347149.0,16833196.0,19180346,2983556,4322553,26486456,2009
36,ocak,852591,4024320,4876912,1422812,4222211.0,10521935,1736849,11076987,12813837,1572451,93727.0,14480016,2589441.0,15101308.0,17690750,2995263,4315939,25001952,2008
37,subat,759321,4503167,5262488,1403066,5050994.0,11716548,1582116,10697611,12279728,1445819,36213.0,13761762,2341438.0,15200778.0,17542217,2848886,5087208,25478311,2008
38,mart,888075,5060919,5948994,1493749,4340803.0,11783547,1888199,12089353,13977553,1590556,61987.0,15630097,2776274.0,17150273.0,19926548,3084305,4402792,27413645,2008
39,nisan,1009243,5688848,6698094,1482220,4189291.0,12369606,2025232,11767725,13792959,1581027,35830.0,15409818,3034477.0,17456576.0,20491053,3063249,4225121,27779424,2008
40,mayis,1130831,6366500,7497332,1660543,5367667.0,14525545,2039704,12140346,14180051,1777170,53142.0,16010364,3170537.0,18506847.0,21677384,3437714,5420809,30535909,2008
41,haziran,1039718,6053815,7093535,1764459,4628468.0,13486463,2083228,11935342,14018571,1865335,35393.0,15919300,3122947.0,17989160.0,21112107,3629794,4663861,29405763,2008
42,temmuz,919162,5927322,6846484,1802109,5035886.0,13684482,1992028,12397055,14389084,1938110,109758.0,16436954,2911190.0,18324378.0,21235569,3740221,5145645,30121436,2008
43,agustos,1000726,5475697,6476423,1836308,2704114.0,11016845,1941438,10975038,12916477,1972769,50217.0,14939464,2942165.0,16450735.0,19392900,3809078,2754330,25956309,2008
44,eylul,856587,5787087,6643674,1757435,4101349.0,12502460,1859182,10070346,11929529,1817964,99801.0,13847294,2715768.0,15857435.0,18573203,3575400,4201151,26349754,2008
45,ekim,751157,5091992,5843148,1435695,2751770.0,10030614,1597182,10239381,11836563,1676994,38876.0,13552435,2348339.0,15331374.0,17679712,3112691,2790646,23583049,2008
46,kasim,815463,4680332,5495796,1424470,3557931.0,10478198,1136810,8558298,9695108,1462344,60912.0,11218365,1952273.0,13238632.0,15190905,2886814,3618843,21696564,2008
47,aralik,631861,3930221,4562082,1440553,4094022.0,10096657,1264395,8453816,9718210,1435215,32446.0,11185872,1896256.0,12384036.0,14280294,2875768,4126468,21282529,2008
48,ocak,889239,5675686,6564927,1924496,4479427.0,12968850,2257491,11913670,14171162,1922019,414594.0,16507776,3146731.0,17589357.0,20736089,3846516,4894022,29476627,2012
49,subat,986907,5673699,6660608,1736519,4386554.0,12783683,1875799,12172612,14048412,1834674,428844.0,16311930,2862708.0,17846312.0,20709021,3571194,4815398,29095614,2012
50,mart,1044600,7011037,8055639,1792724,4925297.0,14773661,2580442,14012522,16592964,2066593,391491.0,19051049,3625043.0,21023561.0,24648605,3859318,5316788,33824710,2012
51,nisan,980972,6280444,7261418,1716577,4350424.0,13328419,2645402,15287170,17932573,1846541,499241.0,20278355,3626374.0,21567616.0,25193990,3563118,4849664,33606775,2012
52,mayis,1257592,7367327,8624919,1942777,4095576.0,14663271,2506423,15139238,17645660,1999638,511152.0,20156452,3764014.0,22506565.0,26270580,3942416,4606727,34819724,2012
53,haziran,1072649,6916662,7989313,2076223,4470611.0,14536148,3126949,13138301,16265250,2080229,505029.0,18850508,4199599.0,20054966.0,24254565,4156452,4975641,33386658,2012
54,temmuz,1051287,6591647,7642935,1903960,4348756.0,13895652,2218386,13711232,15929617,2013798,521095.0,18464511,3269672.0,20302879.0,23572553,3917758,4869852,32360164,2012
55,agustos,921339,6362074,7283414,1950521,3869284.0,13103221,2045534,14096980,16142516,2078640,644033.0,18865190,2966872.0,20459057.0,23425930,4029162,4513317,31968411,2012
56,eylul,944399,6920203,7864602,1999924,3860953.0,13725481,1833054,14748052,16581106,2129927,522974.0,19234008,2777453.0,21668256.0,24445710,4129852,4383927,32959488,2012
57,ekim,1041242,6687121,7728364,2032088,4008938.0,13769390,1806114,14658567,16464682,2072314,470894.0,19007892,2847357.0,21345688.0,24193046,4104402,4479834,32777282,2012
58,kasim,1062487,6761476,7823964,1968344,3963461.0,13755769,1814307,12853995,14668303,2062023,510824.0,17241152,2876794.0,19615473.0,22492267,4030367,4474286,30996921,2012
59,aralik,983179,6824199,7807380,1825298,4007724.0,13640403,1766444,14266229,16032676,1943529,537245.0,18513449,2749624.0,21090430.0,23840055,3768827,4544969,32153853,2012
60,ocak,604728,3132451,3737181,1163154,3699437.5384615385,4900336,1967835,7378430,9346265,959427,495918.46153846156,10305693,2572564.0,10510883.0,13083447,2122582,279616,15485645,2006
61,subat,821382,3382702,4204085,1059831,3391151.076923077,5263917,2193719,7767719,9961439,1058261,454591.92307692306,11019700,3015101.0,11150423.0,14165524,2118092,651181,16934799,2006
62,mart,1020366,4281896,5302263,1147697,3082864.615384615,6449961,2745141,13543703,16288844,1143933,413265.3846153846,17432777,3765507.0,17825600.0,21591108,2291630,630211,24512949,2006
63,nisan,834934,3981723,4816658,1124885,2774578.153846154,5941544,3014679,9016558,12031238,1147996,371938.8461538461,13179235,3849614.0,12998282.0,16847897,2272882,559618,19680397,2006
64,mayis,875574,4241794,5117369,1223409,2466291.692307692,6340778,2508561,9616882,12125444,1283976,330612.3076923077,13409421,3384135.0,13858677.0,17242813,2507386,539813,20290013,2006
65,haziran,963593,4715948,5679542,1386132,2158005.2307692305,7065674,2769545,9111169,11880715,1375930,289285.76923076925,13256645,3733139.0,13827119.0,17560258,2762062,773303,21095624,2006
66,temmuz,896434,4591218,5487653,1282724,1849718.769230769,6770377,2873435,8936706,11810142,1510269,247959.23076923075,13323612,3769869.0,13527926.0,17297795,2792994,1614089,21708079,2006
67,agustos,733421,4961397,5694819,1268189,1541432.3076923075,6963008,3030307,8603907,11634215,1402847,206632.6923076923,13037063,3763729.0,13565305.0,17329035,2671036,1127085,21127157,2006
68,eylul,734693,4851782,5586475,1361274,1233145.846153846,6947750,2865263,9348758,12214021,1453029,165306.15384615387,13667051,3599956.0,14200541.0,17800497,2814304,909313,21524114,2006
69,ekim,723457,4781532,5504990,1218072,924859.3846153845,6723063,2604621,8855940,11460561,1278112,123979.61538461538,12738673,3328078.0,13637473.0,16965551,2496185,618225,20079963,2006
70,kasim,853336,5195555,6048893,1211749,616572.923076923,7260642,3277412,9133354,12410766,1274468,82653.07692307694,13685234,4130748.0,14328910.0,18459659,2486217,1682337,22628214,2006
71,aralik,759659,5340256,6099916,1260669,308286.46153846104,7360586,2944262,9514763,12459026,1370894,41326.5384615385,13829921,3703922.0,14855021.0,18558943,2631564,1866958,23057466,2006
72,ocak,708527,5518225,6226752,1055917,0.0,7282670,2657251,9385354,12042606,1204580,0.0,13247186,3365778.0,14903580.0,18269358,2260497,1300904,21830760,2007
73,subat,746298,5399934,6146233,1169521,0.0,7315754,2098004,10193985,12291990,1177985,0.0,13469975,2844302.0,15593921.0,18438224,2347506,1444707,22230437,2007
74,mart,963591,5278420,6242012,1526135,0.0,7768147,2261557,10691804,12953362,1593397,0.0,14546759,3225148.0,15970225.0,19195374,3119532,1673043,23987949,2007
75,nisan,827011,5414278,6241290,1363894,0.0,7605185,2644129,9946588,12590718,1462637,0.0,14053355,3471141.0,15360867.0,18832008,2826531,1716780,23375320,2007
76,mayis,837707,4960382,5798090,1337986,0.0,7136076,2750365,11706043,14456408,1513733,0.0,15970142,3588072.0,16666426.0,20254499,2851719,3395120,26501339,2007
77,haziran,860861,4883590,5744452,1471205,0.0,7215657,2171337,10338665,12510002,1507641,0.0,14017644,3032199.0,15222256.0,18254455,2978846,3048766,24282068,2007
78,temmuz,906835,4665563,5572399,1458212,0.0,7030611,2219922,10532876,12752799,1560175,0.0,14312975,3126758.0,15198440.0,18325199,3018388,3272541,24616128,2007
79,agustos,764717,4361848,5126566,1595859,0.0,6722425,2206441,10363028,12569470,1659906,0.0,14229377,2971159.0,14724877.0,17696036,3255765,3541683,24493486,2007
80,eylul,871061,4405720,5276782,1391517,0.0,6668299,2331221,11147854,13479075,1608184,0.0,15087259,3202282.0,15553575.0,18755857,2999701,2457653,24213213,2007
81,ekim,784638,4664566,5449205,1523379,0.0,6972584,1858734,10534156,12392890,1713248,0.0,14106139,2643372.0,15198723.0,17842096,3236627,3827711,24906435,2007
82,kasim,750311,4700044,5450356,1348817,2355815.0,9154989,1747832,10012124,11759957,1526458,55700.0,13342116,2498144.0,14712169.0,17210313,2875275,5223371,25308961,2007
83,aralik,784136,4619184,5403321,1434607,3512681.0,10350611,2334947,11390815,13725763,1604364,146788.0,15476916,3119084.0,16009999.0,19129084,3038972,3659470,25827527,2007
84,ocak,923432,5990980,6914415,1914542,3882523.0,12711481,1821346,12690375,14511721,1929953,561939.0,17003615,2744780.0,18681357.0,21426137,3844495,4444463,29715096,2013
85,subat,854106,5824237,6678344,1885915,3611757.0,12176016,1865869,12485794,14351665,2048655,487386.0,16887708,2719975.0,18310033.0,21030008,3934571,4099143,29063724,2013
86,mart,1046030,7454975,8501006,2049720,4143097.0,14693824,1628402,14038304,15666707,2258603,574844.0,18500156,2674433.0,21493281.0,24167713,4308323,4717942,33193980,2013
87,nisan,926454,6762050,7688504,2250795,4324035.0,14263334,1964220,14153227,16117449,2300474,535537.0,18953461,2890674.0,20915279.0,23805953,4551270,4859572,33216796,2013
88,mayis,1073363,7251643,8325006,2323194,4306905.0,14955105,1968549,13524874,15493425,2651051,638542.0,18783020,3041914.0,20776518.0,23818433,4974246,4945447,33738126,2013
89,haziran,1058787,6836526,7895315,2202135,3843258.0,13940709,1948736,13334616,15283352,2329747,558728.0,18171827,3007525.0,20171143.0,23178669,4531882,4401986,32112537,2013
90,temmuz,918104,6797993,7716099,2381161,3794791.0,13892053,2052176,14064721,16116897,2401126,673184.0,19191207,2970279.0,20862716.0,23832996,4782288,4467976,33083260,2013
91,agustos,870184,6048952,6919136,2318432,3860191.0,13097759,1634111,15011457,16645568,2336102,615391.0,19597063,2504294.0,21060409.0,23564704,4654534,4475582,32694823,2013
92,eylul,983762,6097247,7081009,2166541,3494168.0,12741719,1993387,15409235,17402623,2335598,528982.0,20267204,2977149.0,21506484.0,24483632,4502140,4023151,33008925,2013
93,ekim,870120,6163225,7033345,2180464,3387758.0,12601567,2040236,13334042,15374279,2684329,556488.0,18615098,2910356.0,19497267.0,22407623,4864794,3944246,31216665,2013
94,kasim,1131534,6514427,7645963,2116556,4322199.0,14084719,2083334,12804858,14888194,2167935,493020.0,17549150,3214868.0,19319287.0,22534156,4284492,4815220,31633868,2013
95,aralik,1004768,6151076,7155844,2286884,3959747.0,13402476,1949515,13980213,15929728,2418014,502733.0,18850478,2954282.0,20131290.0,23085573,4704899,4462482,32252954,2013
96,ocak,836561,3020323,3856886,969998,4020338.230769231,4832784,2415229,7231077,9646307,955467,489676.6153846154,10601774,3251790.0,10251402.0,13503193,1925465,465098,15899658,2005
97,subat,936510,3218620,4155131,929856,4080929.4615384615,5084987,2020477,6162984,8183462,931036,476620.23076923075,9125038,2956988.0,9381605.0,12338593,1860892,396004,14606030,2005
98,mart,918087,3440950,4359039,1152492,4141520.6923076925,5514381,2233005,8426722,10659729,1208365,463563.8461538461,11868094,3151093.0,11867675.0,15018768,2360857,537607,17920083,2005
99,nisan,1044015,3396089,4440105,1128025,4202111.923076923,5578283,2409006,7712408,10121416,1111461,450507.46153846156,11242136,3453021.0,11108499.0,14561521,2239486,444081,17264500,2005
100,mayis,994435,3926731,4921166,1345786,4262703.153846154,6270777,2700587,8156135,10856723,1341524,437451.07692307694,12201601,3695022.0,12082868.0,15777890,2687311,526552,18998931,2005
101,haziran,1135752,3744375,4880128,1232310,4323294.384615385,6115532,2383043,7484311,9867354,1398942,424394.6923076923,11295348,3518795.0,11228687.0,14747483,2631252,543519,17954400,2005
