id,ay,ihracat_Turk_bayrak,ihracat_yabancı_bayraklı,ihracat_toplam,kabotaj_yukleme,transit_yukleme,toplam_yukleme,ithalat_Turk_bayrak,ithalat_yabancı_bayraklı,ithalat_toplam,kabotaj_bosaltma,transit_bosaltma,toplam_bosaltma,toplam_turk_bayrakli,toplam_yabancı_bayraklı,toplam_ithalt_ihracat,toplam_kabotaj,toplam_transit,toplam_ellecleme,Year
102,temmuz,882630,3604945,4487577,1407846,4383885.615384615,5895423,2589316,7736777,10326095,1329969,411338.3076923077,11656754,3471947.0,11341725.0,14813672,2737815,535235,18087413,2005
103,agustos,975588,3457073,4432662,1763704,4444476.846153846,6196367,2160824,8603965,10764790,1417113,398281.92307692306,12181904,3136412.0,12061040.0,15197453,3180818,493366,18871638,2005
104,eylul,899207,4356738,5255946,1238979,4505068.076923077,6494925,2966757,7995740,10962498,1220942,385225.5384615385,12183440,3865964.0,12352479.0,16218444,2459921,357986,19036352,2005
105,ekim,971241,3605736,4576978,1149573,4565659.307692308,5726551,2849026,8391858,11240885,1178573,372169.1538461539,12419458,3820268.0,11997595.0,15817864,2328146,405972,18551983,2005
106,kasim,849828,3641627,4491456,1159816,4626250.538461538,5651273,1935696,8328000,10263696,999112,359112.76923076925,11263193,2785524.0,11969628.0,14755153,2158928,412691,17327158,2005
107,aralik,860727,3901825,4762554,990608,4686841.769230769,5753163,2540475,8633920,11174396,1048780,346056.3846153846,12223176,3401203.0,12535747.0,15936950,2039389,531101,18507441,2005
108,ocak,1166325,5778038,6944363,1677016,4747433.0,13368812,2243839,12285505,14529344,1788803,333000.0,16651149,3410163.0,18063543.0,21473707,3465819,5080434,30019962,2011
109,subat,1004563,4995314,5999876,1493190,4725372.0,12218441,2077893,10342081,12419976,1605887,354134.0,14379998,3082457.0,15337397.0,18419854,3099078,5079508,26598440,2011
110,mart,1060171,5686826,6746998,1655091,5676529.0,14078618,2208984,11335345,13544330,1667631,738761.0,15950723,3269156.0,17022174.0,20291329,3322721,6415291,30029343,2011
111,nisan,912391,6033477,6945870,1804052,5169315.0,13919239,2515982,13497631,16013613,1895696,698430.0,18607739,3428374.0,19531110.0,22959484,3699748,5867746,32526978,2011
112,mayis,1109734,5968772,7078507,1926214,5515518.0,14520241,2421483,10882793,13304278,1945774,776444.0,16026497,3531217.0,16851567.0,20382785,3871990,6291964,30546738,2011
113,haziran,1040254,5502488,6542742,1984917,5398569.0,13926229,2578178,11185730,13763908,2088843,502708.0,16355460,3618432.0,16688218.0,20306651,4073760,5901279,30281690,2011
114,temmuz,1024815,5691638,6716455,1942046,4761414.0,13419916,2709497,12335064,15044561,2001558,378827.0,17424948,3734313.0,18026703.0,21761017,3943604,5140241,30844864,2011
115,agustos,971982,6305436,7277419,2115429,5081476.0,14474327,1744196,11995186,13739383,2381823,361205.0,16482413,2716179.0,18300623.0,21016804,4497253,5442683,30956740,2011
116,eylul,898105,5221379,6119486,1780413,4269445.0,12169345,3018961,12124011,15142973,1847265,405720.0,17395960,3917067.0,17345394.0,21262460,3627678,4675166,29565305,2011
117,ekim,1231295,6454226,7685522,1676700,4640338.0,14002562,2559045,11980705,14539750,1728207,424634.0,16692592,3790341.0,18434931.0,22225273,3404907,5064972,30695153,2011
118,kasim,926900,5465898,6392799,1557684,4356035.0,12306518,2433945,12049000,14482946,1661566,400692.0,16545205,3360844.0,17514899.0,20875745,3219250,4756728,28851723,2011
119,aralik,927375,6399273,7326648,1644435,4261603.0,13232688,3608025,13413302,17021329,1774232,401531.0,19197093,4535401.0,19812577.0,24347978,3418668,4663135,32429781,2011
120,ocak,863553,4908999,5772554,1437587,4897872.0,12108013,2186211,9376547,11562758,1503462,273384.0,13339605,3049764.0,14285549.0,17335312,2941050,5171256,25447619,2010
121,subat,825540,5095566,5921109,1423219,4399027.0,11743355,1723264,8683512,10406776,1488360,379267.0,12274402,2548805.0,13779079.0,16327885,2911579,4778293,24017759,2010
122,mart,978868,6140458,7119327,1474040,4366344.0,12959713,2503276,11112282,13615557,1546750,458307.0,15620615,3482145.0,17252740.0,20734886,3020791,4824652,28580328,2010
123,nisan,979920,6299921,7279842,1387554,4631849.0,13299247,2453380,10446721,12900103,1434603,429964.0,14764671,3433300.0,16746645.0,20179946,2822159,5061813,28063918,2010
124,mayis,998655,7117450,8116107,1723530,5400286.0,15239923,2638125,11681663,14319788,1852394,407313.0,16579495,3636780.0,18799114.0,22435895,3575924,5807599,31819418,2010
125,haziran,994732,6038529,7033261,1740019,5173002.0,13946282,2726210,10790228,13516439,1784931,444179.0,15745549,3720942.0,16828758.0,20549701,3524951,5617181,29691832,2010
126,temmuz,996266,6763346,7759614,1912009,4983411.0,14655036,2721131,12672430,15393562,1957026,631549.0,17982139,3717398.0,19435780.0,23153177,3869035,5614961,32637175,2010
127,agustos,882449,5782368,6664819,1683936,4881694.0,13230451,2274118,12943673,15217791,1849562,490483.0,17557838,3156568.0,18726043.0,21882611,3533499,5372178,30788289,2010
128,eylul,1012933,5937281,6950215,1429959,4784138.0,13164312,2498818,10341425,12840245,1512088,418202.0,14770537,3511752.0,16278708.0,19790460,2942048,5202340,27934848,2010
129,ekim,957219,6180824,7138044,1501072,5487749.0,14126867,2461652,12514026,14975680,1555098,495077.0,17025855,3418871.0,18694852.0,22113723,3056170,5982826,31152721,2010
130,kasim,1026062,5553159,6579222,1300451,4904068.0,12783740,2506592,11106903,13613494,1369774,418902.0,15402171,3532655.0,16660061.0,20192717,2670225,5322969,28185912,2010
131,aralik,1098715,6500555,7599271,1547535,4857618.0,14004423,2179437,12047090,14226528,1576070,509016.0,16311615,3278152.0,18547645.0,21825799,3123605,5366634,30316039,2010
132,ocak,859548,3010241,3869789,1199051,4766031.692307692,5068840,2239973,7093114,9333088,978748,497397.92307692306,10311836,3232942.6923076925,18641134.923076924,13202877,2177799,301824,15682502,2004
133,subat,859233,2816766,3675999,1001557,4674445.384615385,4677557,2563214,7076097,9639313,942627,485779.8461538461,10581940,3187733.3846153845,18734624.846153848,13315312,1944184,264705,15524203,2004
134,mart,1048672,4172252,5220925,1271205,4582859.076923077,6492131,2693246,7916276,10609523,1302993,474161.76923076925,11912516,3142524.076923077,18828114.769230768,15830448,2574198,762138,19166786,2004
135,nisan,1232502,4176508,5409011,1373416,4491272.769230769,6782428,2280680,7131657,9412339,1423993,462543.6923076923,10836333,3097314.769230769,18921604.692307692,14821351,2797409,261289,17880050,2004
136,mayis,1560146,3995083,5555229,1191367,4399686.461538462,6746597,2579800,7717590,10297390,1481013,450925.6153846154,11778404,3052105.4615384615,19015094.615384616,15852620,2672381,301571,18826573,2004
137,haziran,1026528,3795591,4822120,1141087,4308100.153846154,5963207,2346246,7882767,10229015,1238723,439307.53846153844,11467738,3006896.153846154,19108584.53846154,15051135,2379810,632147,18063093,2004
138,temmuz,1132679,3638233,4770913,1226871,4216513.846153846,5997784,2673923,7688480,10362404,1248570,427689.4615384615,11610975,2961686.846153846,19202074.46153846,15133317,2475442,619633,18228393,2004
139,agustos,938629,3906955,4845585,1363717,4124927.5384615385,6209302,2635071,7776319,10411390,1274744,416071.3846153846,11686134,2916477.5384615385,19295564.384615384,15256975,2638461,303660,18199097,2004
140,eylul,1085054,3621838,4706893,1153534,4033341.230769231,5860427,2579845,7328742,9908589,1203787,404453.3076923077,11112376,2871268.230769231,19389054.307692308,14615482,2357321,692339,17665143,2004
141,ekim,943851,4107504,5051356,1273343,3941754.923076923,6324700,2387225,8230723,10617949,1372928,392835.23076923075,11990878,2826058.923076923,19482544.230769232,15669306,2646272,655426,18971005,2004
142,kasim,994121,3622346,4616467,1153536,3850168.6153846155,5770004,2211339,7402598,9613937,1166149,381217.1538461539,10780087,2780849.6153846155,19576034.153846152,14230405,2319686,268875,16818966,2004
143,aralik,1092455,3707692,4800148,1122959,3758582.307692308,5923107,2422228,7859405,10281634,1139507,369599.0769230769,11421141,2735640.3076923075,19669524.076923076,15081782,2262466,735372,18079622,2004
144,ocak,1090540,5947678,7038219,2224510,3666996.0,12929725,1599891,13815336,15415227,2344034,357981.0,18117244,2690431.0,19763014.0,22453446,4568544,4024978,31046970,2014
145,subat,1199706,5623608,6823314,1874117,3888122.0,12585553,1388082,11844336,13232419,2008455,399274.0,15640147,2587788.0,17467945.0,20055733,3882572,4287395,28225702,2014
146,mart,1178314,6242919,7421235,2078039,3341577.0,12840854,1687649,13432660,15120310,2179221,382567.0,17682099,2865964.0,19675581.0,22541546,4257261,3724146,30522953,2014
147,nisan,1123263,6611456,7734722,1997327,3635057.0,13367106,1971267,14193088,16164358,2058680,429992.0,18653030,3094532.0,20804547.0,23899080,4056007,4065049,32020137,2014
148,mayis,1063782,6855039,7918821,2346886,3541949.0,13807658,1788739,13742844,15531586,2410007,406332.0,18347927,2852522.0,20597884.0,23450408,4756895,3948282,32155585,2014
149,haziran,1037501,6735082,7772584,2307904,3300273.0,13380762,1752008,13984828,15736838,2396628,504793.0,18638260,2789510.0,20719913.0,23509422,4704531,3805066,32019022,2014
150,temmuz,947508,6628423,7575931,2251621,3582630.0,13410183,1690459,14777610,16468070,2361406,457513.0,19286989,2637967.0,21406034.0,24044001,4613028,4040143,32697173,2014
151,agustos,976534,5484469,6461003,2145808,3423707.0,12030519,1597091,15216790,16813881,2120654,396485.0,19331020,2573625.0,20701260.0,23274886,4266462,3820191,31361540,2014
152,eylul,1002446,6117414,7119861,1965038,3825955.0,12910855,1657612,15274325,16931937,2116541,385480.0,19433958,2660058.0,21391740.0,24051799,4081578,4211437,32344815,2014
153,ekim,997837,6353287,7351125,2048831,3986352.0,13386309,1936249,15691009,17627258,2063820,412461.0,20103539,2934087.0,22044298.0,24978385,4112651,4398813,33489850,2014
154,kasim,1123905,6448533,7572439,1775092,3568991.0,12916524,1991830,15684224,17676056,1862216,369569.0,19907841,3115736.0,22132759.0,25248496,3637308,3938560,32824365,2014
155,aralik,1002613,6752915,7755529,1962568,4475749.0,14193847,1819483,16233999,18053482,1832167,333007.0,20218657,2822097.0,22986915.0,25809013,3794736,4808755,34412505,2014
156,ocak,1061320,5721150,6782470,1711518,4340118.0,12834108,1759758,14712811,16472571,2028159,302045.0,18802775,2821078.0,20433964.0,23255041,3739678,4642163,31636882,2015
157,subat,948398,5827951,6776348,1668926,4098100.0,12543375,1557268,14734680,16291950,1441193,390379.0,18123524,2505666.0,20562632.0,23068300,3110120,4488479,30666899,2015
158,mart,1162909,7076946,8239856,2077838,4149685.0,14467380,1948805,16686705,18635510,2303843,340187.0,21279541,3111714.0,23763652.0,26875367,4381680,4489873,35746922,2015
159,nisan,1091880,7177895,8269776,2475305,4313578.0,15058660,1752802,15074225,16827028,2383868,310627.0,19521524,2844682.0,22252121.0,25096805,4859174,4624205,34580184,2015
160,mayis,1100746,7761247,8861994,2435265,4625222.0,15922481,2296515,13932397,16228914,2484377,337688.0,19050979,3397261.0,21693646.0,25090908,4919644,4962909,34973461,2015
161,haziran,1094322,6598864,7693188,2289632,5261587.0,15244407,1847742,14249283,16097027,2331528,384560.0,18813116,2942066.0,20848148.0,23790215,4621160,5646147,34057522,2015
162,temmuz,1156279,6487959,7644237,2361371,5153723.0,15159332,2040669,15523969,17564639,2416553,433874.0,20415067,3196948.0,22011928.0,25208878,4777925,5587596,35574399,2015
163,agustos,1021487,6247145,7268633,2327430,4083766.0,13679829,1718794,15280362,16999157,2417974,446095.0,19863228,2740281.0,21527509.0,24267790,4745404,4529861,33543056,2015
164,eylul,1200391,5521396,6721788,2261112,5966014.0,14948914,1770513,15256205,17026718,2314352,422652.0,19763722,2970904.0,20777601.0,23748507,4575465,6388665,34712637,2015
165,ekim,1335881,6615100,7950984,2095330,5515606.0,15561921,2045451,16670595,18716049,2180938,401118.0,21298105,3381333.0,23285698.0,26667033,4276268,5916724,36860026,2015
166,kasim,1170303,6759934,7930238,1951945,5053248.0,14935430,2007332,15700613,17707947,1969300,365573.0,20042822,3177635.0,22460550.0,25638185,3921245,5418821,34978253,2015
167,aralik,1410888,6602215,8013105,2238707,6036556.0,16288369,1979120,17779670,19758790,2306194,353091.0,22418076,3390009.0,24381886.0,27771896,4544901,6389647,38706446,2015
168,ocak,1248178,8379480,9627659,2009033,4184210.0,15820903,1947610,17408852,19356465,2005322,428438.0,21790225,3195789.0,25788335.0,28984125,4014355,4612649,37611129,2017
169,subat,1199560,7567044,8766605,2026849,4806801.0,15600255,1588749,14433546,16022295,2120001,447472.0,18589769,2788309.0,22000591.0,24788901,4146849,5254272,34190023,2017
170,mart,1361041,9292760,10653801,2287608,4358669.0,17300080,1994868,16848579,18843448,2324632,504729.0,21672809,3355908.0,26141340.0,29497249,4612241,4863398,38972890,2017
171,nisan,1417868,8638173,10056044,2516764,4618103.0,17190912,1860333,17613659,19473993,2567340,574338.0,22615671,3278203.0,26251833.0,29530037,5084104,5192442,39806583,2017
172,mayis,1234495,7774400,9008896,2562780,5885673.0,17457351,1743251,17503904,19247155,2745531,662710.0,22655399,2977748.0,25278305.0,28256052,5308313,6548384,40112750,2017
173,haziran,1242486,7919801,9162288,2839414,4656351.0,16658056,1772285,16784836,18557122,2759571,734797.0,22051491,3014771.0,24704639.0,27719411,5598986,5391149,38709546,2017
174,temmuz,1147271,7649608,8796880,2811751,5418470.0,17027102,1701522,18979277,20680799,2853094,797865.0,24331758,2848793.0,26628885.0,29477680,5664845,6216336,41358862,2017
175,agustos,1242336,7776547,9018885,2843268,5749957.0,17612112,1560115,18566858,20126974,3002892,704300.0,23834166,2802452.0,26343405.0,29145858,5846160,6454259,41446279,2017
176,eylul,1204751,7575423,8780175,2442579,4507038.0,15729792,1615047,17870934,19485982,2455092,784353.0,22725428,2819800.0,25446358.0,28266157,4897672,5291390,38455221,2017
177,ekim,1222566,9335593,10558161,2673610,3454390.0,16686163,1968237,18108732,20076971,2633712,808644.0,23519328,3190804.0,27444328.0,30635134,5307323,4263033,40205490,2017
178,kasim,1305007,8853212,10158220,2368591,3043774.0,15570587,1670862,19004317,20675178,2452601,678722.0,23806502,2975869.0,27857529.0,30833400,4821192,3722496,39377090,2017
179,aralik,1312766,7791681,9104448,2515755,4860953.0,16481157,2254600,18855034,21109636,2578277,758959.0,24446872,3567367.0,26646718.0,30214084,5094033,5619912,40928029,2017
180,ocak,1055988,6344270,7400258,1963220,5582123.0,14945602,1816640,16105666,17922308,2116816,343560.0,20382683,2872627.0,22449938.0,25322567,4080036,5925683,35328286,2016
181,subat,1261368,6235407,7496775,1821686,4732138.0,14050601,1711680,16124430,17836110,1910408,392252.0,20138772,2973049.0,22359837.0,25332887,3732096,5124389,34189372,2016
182,mart,1188099,7326197,8514296,1936824,4554584.0,15005704,2206555,16363256,18569813,1932901,513991.0,21016705,3394654.0,23689453.0,27084108,3869727,5068574,36022411,2016
183,nisan,1251052,6394956,7646008,2376082,5366964.0,15389054,1844298,15091478,16935776,2358046,550426.0,19844249,3095350.0,21486434.0,24581785,4734128,5917390,35233303,2016
184,mayis,1332730,6966981,8299712,2476394,5558395.0,16334503,1627850,16608980,18236830,2506104,539620.0,21282555,2960581.0,23575961.0,26536544,4982498,6098015,37617058,2016
185,haziran,1357338,7553971,8911310,2188182,4673242.0,15772735,1842348,16432933,18275283,2199848,407620.0,20882752,3199686.0,23986907.0,27186593,4388031,5080863,36655489,2016
186,temmuz,1173754,6052030,7225783,2010988,5096350.0,14333124,1896539,17234382,19130922,2058115,435560.0,21624596,3070294.0,23286411.0,26356705,4069103,5531911,35957721,2016
187,agustos,1317392,6734619,8052011,2407980,4807203.0,15267194,2203002,15563009,17766011,2514082,490671.0,20770766,3520395.0,22297628.0,25818023,4922061,5297874,36037960,2016
188,eylul,1318037,6344525,7662564,2144499,4802132.0,14609194,1888122,14631256,16519380,2242590,467987.0,19229956,3206161.0,20975783.0,24181944,4387088,5270119,33839151,2016
189,ekim,1354895,6799605,8154501,2519024,5637883.0,16311409,2211288,15455689,17666978,2516198,470712.0,20653889,3566184.0,22255295.0,25821479,5035222,6108596,36965298,2016
190,kasim,1304210,6511037,7815249,2366777,5171196.0,15353222,2247042,15028721,17275764,2468809,439282.0,20183856,3551254.0,21539759.0,25091013,4835586,5610479,35537079,2016
191,aralik,1357988,6268658,7626646,2038328,5453964.0,15118940,1855050,17142288,18997339,2226304,475444.0,21699087,3213038.0,23410947.0,26623986,4264632,5929408,36818028,2016
192,ocak,1094725,10435171,11529896,2430914,5257987.0,19218797,1271190,20152412,21423602,2138232,891644.0,24453479,2365914.0,30587583.0,32953498,4569146,6149632,43672276,2020
193,subat,1128957,9747544,10876501,2574842,5532883.0,18984228,1040562,17590244,18630807,2556388,845186.0,22032382,2169519.0,27337788.0,29507308,5131231,6378070,41016610,2020
194,mart,1207175,10885135,12092310,2578489,5007456.0,19678258,1658809,18408143,20066952,2639312,899345.0,23605609,2865983.0,29293279.0,32159263,5217801,5906802,43283868,2020
195,nisan,892782,9664854,10557637,1968613,5525683.0,18051933,1324611,16961285,18285896,1981627,1017591.0,21285115,2217394.0,26626140.0,28843534,3950240,6543275,39337048,2020
196,mayis,916164,9303707,10219871,2135352,4914904.0,17270128,1383263,16425340,17808603,1923553,838133.0,20570290,2299426.0,25729048.0,28028475,4058905,5753037,37840417,2020
197,haziran,1033058,9920437,10953496,2400855,4668819.0,18023171,1395979,15798079,17194059,2301541,783206.0,20278807,2429039.0,25718517.0,28147556,4702396,5452026,38301979,2020
198,temmuz,1254780,10371138,11625918,2343858,4832944.0,18802720,1384332,17243611,18627944,2449019,850714.0,21927677,2639113.0,27614749.0,30253862,4792877,5683658,40730398,2020
199,agustos,974675,9759170,10733845,2512316,5232149.0,18478312,1048081,17718780,18766861,2496326,1159614.0,22422803,2022756.0,27477951.0,29500707,5008643,6391764,40901116,2020
200,eylul,1400801,10753391,12154193,2570082,5055575.0,19779851,1361382,17661453,19022836,2574467,1181365.0,22778669,2762184.0,28414845.0,31177030,5144551,6236940,42558521,2020
201,ekim,1263618,11754371,13017989,2843520,5105086.0,20966597,1444538,17525804,18970342,2806095,1145689.0,22922128,2708155.0,29280177.0,31988333,5649616,6250777,43888726,2020
202,kasim,1321290,11100616,12421907,2606530,4500345.0,19528783,1590011,16109459,17699470,2451974,1104958.0,21256404,2911302.0,27210075.0,30121377,5058506,5605304,40785187,2020
203,aralik,1092881,11626371,12719253,2798178,4856419.0,20373851,1195487,18846607,20042094,2715287,1195264.0,23952648,2288368.0,30472979.0,32761348,5513466,6051683,44326500,2020
